timestamp,ap_id,band,channel,channel_width_mhz,tx_power_dbm,noise_floor_dbm,nwifi_detected,nwifi_type,avg_client_snr_db,throughput_avg_mbps,p95_retry_pct,mean_qoe,mean_distance_m,p95_distance_m,max_distance_m,busy_time,total_time 
2025-11-02 0:00:00,AP_1,5,44,40,17,-97.71290734,FALSE,wifi,36.89820288,321.6475546,3.748806525,4.892045532,6.610378957,9.128585138,9.852400846,0.991100139,1
2025-11-02 0:00:00,AP_2,5,36,80,14,-96.02634424,FALSE,wifi,36.98669858,551.0809804,4.369926011,4.823207757,6.12077029,9.539559615,9.790603726,0.2136863889,1
2025-11-02 0:00:00,AP_3,5,44,20,19,-95.45178829,FALSE,wifi,35.20661119,180.4313824,5.932572784,4.749566264,6.484995021,9.660292623,9.82970962,0.791945918,1
2025-11-02 0:00:00,AP_4,2.4,6,20,16,-92.71854841,TRUE,FHSS,33.24502417,56.03718832,21.37168036,4.276842742,6.650650395,9.597728114,9.897326309,0.2570833696,1
2025-11-02 0:00:00,AP_5,5,48,40,18,-94.06415436,FALSE,wifi,34.21756512,300.7353333,6.852110743,4.637709593,6.648164559,9.677919232,9.985162281,0.251914841,1
2025-11-02 0:00:00,AP_6,2.4,6,20,15,-94.11613972,FALSE,wifi,34.22121096,63.36576421,8.112385037,4.650262463,6.348248844,9.735041509,9.900529203,0.3381514975,1
2025-11-02 0:00:10,AP_1,5,44,40,17,-95.4330435,FALSE,wifi,35.70223151,311.5005456,4.873246498,4.7935032,6.610378957,9.128585138,9.852400846,0.6891605455,1
2025-11-02 0:00:10,AP_2,5,36,80,14,-97.68214657,FALSE,wifi,37.55392214,562.6921245,2.94542245,4.876058055,6.12077029,9.539559615,9.790603726,0.2691250276,1
2025-11-02 0:00:10,AP_3,5,44,20,19,-97.10158164,TRUE,FHSS,36.29220056,172.0798524,11.53313006,4.594062937,6.484995021,9.660292623,9.82970962,0.3563626771,1
2025-11-02 0:00:10,AP_4,2.4,6,20,16,-95.77011614,FALSE,wifi,35.12406297,64.45390147,5.57147306,4.721042936,6.650650395,9.597728114,9.897326309,0.5880698203,1
2025-11-02 0:00:10,AP_5,5,48,40,18,-93.78080678,FALSE,wifi,33.97608296,299.4459506,12.22756562,4.635879394,6.648164559,9.677919232,9.985162281,0.7795779033,1
2025-11-02 0:00:10,AP_6,2.4,6,20,15,-91.66042667,TRUE,BLE,32.86758705,56.54923078,26.53825672,4.252669198,6.348248844,9.735041509,9.900529203,0.1812548782,1
2025-11-02 0:00:10,AP_6,2.4,6,20,15,-91.66042667,TRUE,ZigBee,32.86758705,56.54923078,26.53825672,4.252669198,6.348248844,9.735041509,9.900529203,0.6964766278,1
2025-11-02 0:00:20,AP_1,5,44,40,17,-95.75712095,FALSE,wifi,35.88008642,310.6157652,4.334852647,4.792478125,6.610378957,9.128585138,9.852400846,0.1113530824,1
2025-11-02 0:00:20,AP_2,5,36,80,14,-94.46816657,FALSE,wifi,36.33100076,552.2897735,7.448094181,4.76670907,6.12077029,9.539559615,9.790603726,0.1236720781,1
2025-11-02 0:00:20,AP_3,5,44,20,19,-96.70623249,FALSE,wifi,36.10535888,183.4290004,4.100509312,4.816939477,6.484995021,9.660292623,9.82970962,0.8211418797,1
2025-11-02 0:00:20,AP_4,2.4,6,20,16,-92.8778243,TRUE,FHSS,33.42408749,58.220569,20.35790609,4.30475218,6.650650395,9.597728114,9.897326309,0.224607213,1
2025-11-02 0:00:20,AP_5,5,48,40,18,-94.84168278,FALSE,wifi,35.02585884,303.632542,5.506992013,4.722573639,6.648164559,9.677919232,9.985162281,0.6673507643,1
2025-11-02 0:00:20,AP_6,2.4,6,20,15,-95.47111531,FALSE,wifi,35.81168565,67.10185615,3.789171015,4.818445698,6.348248844,9.735041509,9.900529203,0.6130608886,1
2025-11-02 0:00:30,AP_1,5,44,40,17,-92.78482976,FALSE,wifi,34.07759927,300.8666406,6.604887209,4.648585734,6.610378957,9.128585138,9.852400846,0.7235601222,1
2025-11-02 0:00:30,AP_2,5,36,80,14,-94.54867438,FALSE,wifi,36.22069418,541.2757023,7.982000725,4.765471287,6.12077029,9.539559615,9.790603726,0.77155864,1
2025-11-02 0:00:30,AP_3,5,44,20,19,-92.81987884,FALSE,wifi,33.85022808,171.5939344,10.99687557,4.592306334,6.484995021,9.660292623,9.82970962,0.6474430247,1
2025-11-02 0:00:30,AP_4,2.4,6,20,16,-92.10445821,TRUE,BLE,33.2508463,56.81182236,21.65414105,4.288328404,6.650650395,9.597728114,9.897326309,0.5382383143,1
2025-11-02 0:00:30,AP_5,5,48,40,18,-99.65750612,FALSE,wifi,37.44376285,319.2591459,3.807975343,4.90146575,6.648164559,9.677919232,9.985162281,0.3246386641,1
2025-11-02 0:00:30,AP_6,2.4,6,20,15,-92.09045827,FALSE,wifi,33.33949735,60.25210279,13.28427798,4.536696829,6.348248844,9.735041509,9.900529203,0.4100676277,1
