timestamp,ap_id,band,channel,channel_width_mhz,tx_power_dbm,noise_floor_dbm,avg_rssi_dbm,nwifi_detected,nwifi_type,avg_client_snr_db,throughput_avg_mbps,p95_retry_pct,mean_qoe,mean_distance_m,p95_distance_m,max_distance_m,busy_time,total_time
2025-11-02T22:10:00Z,AP_1,5,36,80,20,-97,-52,False,,42.5,92.3,1.5,4.8,5.1,8.7,10.3,0.42,1.0
2025-11-02T22:10:10Z,AP_1,5,40,80,20,-96,-50,True,Microwave,40.8,88.1,2.0,4.6,5.2,8.9,10.8,0.47,1.0
2025-11-02T22:10:20Z,AP_2,5,44,40,22,-98,-49,False,,46.1,78.6,2.4,4.5,5.4,9.6,12.2,0.35,1.0
2025-11-02T22:10:30Z,AP_2,5,48,40,22,-97,-51,False,,45.5,80.2,2.2,4.7,5.3,9.4,12.0,0.39,1.0
2025-11-02T22:10:40Z,AP_3,5,52,80,21,-95,-55,True,BLE,39.7,70.1,3.0,4.2,6.0,10.5,13.2,0.51,1.0
2025-11-02T22:10:50Z,AP_3,5,56,80,21,-94,-53,False,,43.2,74.5,2.6,4.4,5.6,9.9,12.7,0.48,1.0
2025-11-02T22:11:00Z,AP_4,5,60,40,19,-93,-48,False,,47.8,90.4,1.8,4.9,4.7,8.2,10.1,0.40,1.0
2025-11-02T22:11:10Z,AP_4,5,64,40,19,-95,-57,True,ZigBee,36.5,68.2,3.5,4.1,6.1,10.8,14.5,0.53,1.0
2025-11-02T22:11:20Z,AP_5,5,64,80,23,-99,-46,False,,49.3,95.1,1.2,4.9,4.5,7.9,9.8,0.37,1.0
2025-11-02T22:11:20Z,AP_5,5,100,80,23,-99,-46,False,,49.3,95.1,1.2,4.9,4.5,7.9,9.8,0.37,1.0
2025-11-02T22:11:30Z,AP_5,5,104,80,23,-100,-47,False,,48.7,93.7,1.3,5.0,4.4,7.7,9.5,0.33,1.0
